ID,Тип респондента,Пол,Возраст,Род занятий,Вместительность и количество отделений,"Удобство и эргономичность (система лямок, вес)",Качество материалов и прочность,Дизайн и внешний вид,Функциональность (наличие дополнительных элементов),Водостойкость или влагозащита,Стоимость
4,1,1,1,Ученик средней или старшей школы,5,4,3,4,4,2,3
1036,2,2,2,Студент вуза,5,5,3,1,4,2,5
54,1,1,1,Ученик средней или старшей школы,4,5,3,5,3,4,4
1064,2,2,3,Студент вуза,4,4,5,3,5,5,5
2029,3,1,3,"Турист, альпинист, инструктор по outdoor-активностям",5,5,5,2,5,5,3
1141,2,1,2,Студент вуза,5,5,3,2,5,1,4
2034,3,1,3,"Турист, альпинист, инструктор по outdoor-активностям",5,5,5,4,4,4,4
50,1,1,1,Ученик средней или старшей школы,4,4,1,5,5,2,5
1094,2,1,2,Студент вуза,5,4,3,3,5,3,3
1011,2,2,3,Студент вуза,4,3,4,3,5,2,3
35,1,2,1,Ученик средней или старшей школы,4,4,3,5,3,3,4
2004,3,1,3,"Турист, альпинист, инструктор по outdoor-активностям",4,4,5,1,5,4,3
8,1,1,1,Ученик средней или старшей школы,5,4,1,5,4,1,2
1102,2,2,2,Студент вуза,5,5,3,1,4,3,4
1129,2,1,2,Студент вуза,5,5,4,1,5,5,3
2009,3,1,3,"Турист, альпинист, инструктор по outdoor-активностям",5,5,4,4,5,4,3
1041,2,2,2,Студент вуза,5,5,4,5,3,4,2
1022,2,2,3,Студент вуза,4,5,5,3,4,4,2
1014,2,1,3,Студент вуза,4,5,3,1,4,2,3
2024,3,1,3,"Турист, альпинист, инструктор по outdoor-активностям",3,5,5,1,5,4,5
2030,3,1,3,"Турист, альпинист, инструктор по outdoor-активностям",3,5,5,1,4,4,4
1020,2,2,2,Студент вуза,4,4,4,3,5,3,4
9,1,1,1,Ученик средней или старшей школы,4,5,1,5,4,1,5
14,1,2,1,Ученик средней или старшей школы,5,5,3,5,4,3,4
60,1,1,1,Ученик средней или старшей школы,4,4,2,4,4,3,4
2015,3,2,3,"Турист, альпинист, инструктор по outdoor-активностям",5,4,5,1,5,5,2
1062,2,1,3,Студент вуза,4,5,4,2,5,5,5
18,1,1,1,Ученик средней или старшей школы,4,5,2,4,3,3,5
1097,2,1,2,Студент вуза,4,5,4,3,5,5,5
1003,2,2,3,Студент вуза,5,4,4,2,4,3,5
2021,3,1,3,"Турист, альпинист, инструктор по outdoor-активностям",5,5,5,3,5,5,3
1065,2,1,2,Студент вуза,5,3,4,4,4,2,4
2002,3,2,3,"Турист, альпинист, инструктор по outdoor-активностям",4,5,5,3,4,5,4
2032,3,1,3,"Турист, альпинист, инструктор по outdoor-активностям",5,5,5,3,4,4,4
64,1,2,1,Ученик средней или старшей школы,3,4,3,5,4,2,3
55,1,1,1,Ученик средней или старшей школы,4,4,3,5,3,3,3
1038,2,2,2,Студент вуза,5,5,5,3,3,3,4
51,1,2,1,Ученик средней или старшей школы,5,4,1,5,5,2,3
2005,3,1,4,"Турист, альпинист, инструктор по outdoor-активностям",5,5,5,3,5,5,4
1105,2,2,2,Студент вуза,3,5,4,3,3,3,5
2006,3,2,4,"Турист, альпинист, инструктор по outdoor-активностям",5,5,5,2,4,5,4
1120,2,2,3,Студент вуза,5,5,3,5,4,2,3
15,1,2,1,Ученик средней или старшей школы,4,5,2,5,4,1,3
1138,2,2,3,Студент вуза,5,5,4,3,5,3,5
2022,3,1,3,"Турист, альпинист, инструктор по outdoor-активностям",5,5,5,4,5,5,4
1150,2,1,2,Студент вуза,4,3,4,3,4,1,4
1100,2,1,3,Студент вуза,4,4,4,3,4,5,4
59,1,2,1,Ученик средней или старшей школы,5,5,5,5,3,4,4
1149,2,1,2,Студент вуза,4,4,4,3,3,5,5
49,1,1,1,Ученик средней или старшей школы,4,2,4,5,2,3,3
1019,2,2,2,Студент вуза,3,5,5,4,5,2,4
2027,3,1,3,"Турист, альпинист, инструктор по outdoor-активностям",4,5,5,4,4,5,4
22,1,2,1,Ученик средней или старшей школы,4,2,5,5,5,1,4
58,1,1,1,Ученик средней или старшей школы,5,3,3,4,4,4,5
1134,2,1,2,Студент вуза,4,4,4,3,5,3,5
1091,2,2,3,Студент вуза,5,4,4,5,5,2,2
2041,3,1,3,"Турист, альпинист, инструктор по outdoor-активностям",5,4,5,2,5,5,3
1118,2,2,2,Студент вуза,4,4,4,3,3,1,4
1122,2,2,3,Студент вуза,5,4,4,3,4,2,5
1060,2,2,3,Студент вуза,5,5,4,3,5,2,3
38,1,1,1,Ученик средней или старшей школы,5,4,3,5,4,1,3
1088,2,1,2,Студент вуза,5,5,4,5,3,3,3
2016,3,1,4,"Турист, альпинист, инструктор по outdoor-активностям",4,5,5,2,5,5,4
2037,3,1,2,"Турист, альпинист, инструктор по outdoor-активностям",5,4,5,3,5,5,3
2,1,2,1,Ученик средней или старшей школы,4,3,5,5,3,3,3
53,1,1,1,Ученик средней или старшей школы,5,5,3,4,4,3,4
1080,2,2,3,Студент вуза,3,4,5,3,4,2,4
1061,2,1,3,Студент вуза,4,3,5,3,4,2,4
1082,2,1,3,Студент вуза,4,5,4,3,4,3,3
1034,2,2,3,Студент вуза,5,3,5,3,4,2,3
1030,2,1,2,Студент вуза,5,4,5,4,4,4,2
1047,2,1,3,Студент вуза,4,5,4,4,3,4,5
1018,2,1,2,Студент вуза,5,5,4,2,5,5,5
1145,2,2,2,Студент вуза,5,4,3,3,4,4,4
1052,2,1,2,Студент вуза,5,3,5,5,4,1,3
2045,3,2,4,"Турист, альпинист, инструктор по outdoor-активностям",5,5,4,1,5,5,4
21,1,1,1,Ученик средней или старшей школы,4,2,4,4,3,1,2
1119,2,1,2,Студент вуза,5,4,4,5,4,3,3
1002,2,2,3,Студент вуза,4,5,5,3,4,2,4
1037,2,1,3,Студент вуза,5,5,3,5,4,4,4
1033,2,1,2,Студент вуза,5,5,4,3,3,4,5
